"locality_id","pincode","locality_name","locality_city"
1,"781001",Pan Bazar,Guwahati
2,"781003",Silpukhuri,Guwahati
3,"781004",Kharguli,Guwahati
4,"781005",Japorigog,Guwahati
5,"781005",Dispur,Guwahati
6,"781006",Assam Sachivalaya,Guwahati
7,"781007",Ulubari,Guwahati
8,"781008",Rehabari,Guwahati
9,"781009",Bharalumukh,Guwahati
10,"781010",Kamakhya,Guwahati
11,"781011",Gotanagar,Guwahati
12,"781011",Maligaon,Guwahati
13,"781012",Sadilapur,Guwahati
14,"781012",Pandu,Guwahati
16,"781013",Jalukbari,Guwahati
17,"781014",Guwahati University,Guwahati
18,"781015",Guwahati Airport,Guwahati
21,"781017",Dharapur,Guwahati
22,"781017",Bhetapara,Guwahati
23,"781017",Azara,Guwahati
25,"781019",Kahilipara,Guwahati
26,"781020",Noonmati,Guwahati
27,"781021",Bamunimaidan,Guwahati
28,"781022",Khanapara,Guwahati
29,"781023",Amerigog,Guwahati
30,"781024",Zoo Road,Guwahati
31,"781025",Dhirenpara,Guwahati
32,"781025",Ambari Fatasil,Guwahati
33,"781026",Narengi,Guwahati
34,"781026",Bonda,Guwahati
35,"781026",Panikhaiti,Guwahati
36,"781027",Amsinggaon,Guwahati
37,"781027",Satgaon,Guwahati
38,"781028",Beltola,Guwahati
39,"781029",Basistha,Guwahati
40,"781029",Pillangkata,Guwahati
41,"781030",North Guwahati,Guwahati
42,"781030",Rongmahal,Guwahati
46,"781031",Amingaon,Guwahati
49,"781034",Odalbakra,Guwahati
50,"781035",Garchuk,Guwahati
51,"781036",Hengrabari,Guwahati
52,"781037",Panjabari,Guwahati
53,"781038",Hatigaon Chariali,Guwahati
54,"781039",I I T,Guwahati
55,"781040",Sawkuchi,Guwahati
56,"781003",Chandmari,Guwahati
57,"781022",Six Mile,Guwahati
58,"781028",Survey,Guwahati
59,"781005",Ganeshguri,Guwahati
60,"781022",Jayanagar,Guwahati
61,"781022",Rukminigaon,Guwahati
62,"781035",Lokhra,Guwahati
63,"781036",Dwarka Nagar,Guwahati
64,"781036",Mathura Nagar,Guwahati
65,"781005",Lachit Nagar,Guwahati
66,"781003",Rajghar,Guwahati
67,"781006",Shreenagar,Guwahati
68,"781003",Commerce Colony,Guwahati
69,"781022",VIP Road,Guwahati
70,"781018",Kalapahar,Guwahati
71,"781029",Lalmati,Guwahati
72,"781005",Christian Basti,Guwahati
73,"781028",Wireless,Guwahati
74,"781038",Hatigaon,Guwahati
