"property_id","pet","bachelor","student","couple","family","parking","lift","power","security","swimming","gym","recreation","community"
18,0,1,0,0,1,1,1,0,1,1,1,1,1
19,0,1,0,0,1,1,1,0,1,0,0,0,0
20,0,1,0,0,1,1,1,0,1,0,0,0,0
21,0,1,0,0,1,1,1,0,1,0,0,0,0
22,1,1,0,0,1,1,1,0,1,0,0,0,0
23,0,1,0,0,1,1,1,0,1,0,0,0,0
24,1,1,0,0,1,1,1,0,1,0,0,0,0
25,1,1,0,0,1,1,1,0,1,0,0,0,0
26,1,1,1,1,1,1,0,0,1,0,0,0,0
27,0,0,0,0,1,1,1,0,1,0,0,0,0
28,0,1,0,0,1,1,1,0,1,0,0,0,0
29,1,1,0,0,1,1,1,0,1,0,0,0,0
30,0,1,0,0,1,0,0,0,0,0,0,0,0
31,1,1,0,0,1,1,1,0,1,0,0,0,0
32,0,1,0,0,1,1,0,0,1,0,0,0,0
33,0,1,0,0,1,1,0,0,0,0,0,0,0
34,0,1,0,0,1,1,1,0,1,0,0,0,0
36,0,1,0,0,1,1,0,0,0,0,0,0,0
37,0,1,0,0,1,1,1,1,1,1,1,1,1
38,0,1,0,0,1,1,1,0,1,0,0,0,0
39,1,0,0,0,1,1,0,0,0,0,0,0,0
40,1,1,1,0,1,1,0,0,1,0,0,0,0
41,0,1,0,0,0,1,1,0,1,0,0,0,0
42,1,1,0,0,1,1,1,0,1,0,0,0,0
43,1,1,0,0,1,1,1,0,1,0,0,0,0
44,0,1,0,0,1,1,1,0,1,0,0,0,0
45,1,1,0,0,1,1,1,1,1,1,1,1,1
46,0,1,1,0,1,1,0,0,0,0,0,0,0
47,0,1,0,0,1,1,1,1,1,0,0,0,0
48,0,1,1,0,1,1,0,0,0,0,0,0,0
49,1,1,1,1,1,1,0,0,1,0,0,0,0
50,0,1,0,0,1,1,1,1,1,1,1,1,1
51,0,1,0,0,1,1,1,0,1,0,0,0,0
52,1,1,1,0,1,1,1,0,1,0,0,0,0
53,0,1,0,0,1,1,1,0,1,0,0,0,0
54,1,1,0,0,1,1,1,0,1,0,0,0,0
55,1,1,1,0,1,1,0,0,0,0,0,0,0
56,0,1,0,0,1,1,1,0,1,1,1,1,1
57,1,1,0,0,1,1,1,1,1,0,0,0,0
58,1,1,0,0,1,1,1,0,1,0,0,0,0
59,0,0,0,0,1,1,0,0,1,0,0,0,0
60,1,1,0,0,1,1,1,0,1,0,0,0,0
61,0,0,0,0,1,1,0,0,1,0,0,0,0
62,1,1,0,0,0,1,0,0,1,0,0,0,0
63,0,0,0,0,1,1,0,0,1,0,0,0,0
64,1,1,0,0,1,1,0,0,1,0,0,0,0
65,1,1,0,0,1,1,1,0,1,0,0,0,0
66,1,1,0,0,1,1,1,0,1,0,0,0,0
67,1,1,0,0,1,1,1,0,1,0,0,0,0
73,1,1,1,1,1,1,0,0,1,0,0,0,0
74,1,1,1,0,1,1,1,0,1,0,0,0,0
75,0,1,0,0,1,1,1,0,1,0,0,0,0
76,0,1,0,0,1,1,1,0,1,0,0,0,0
77,0,1,0,0,1,1,1,1,1,1,1,1,1
78,1,1,0,0,0,1,1,0,1,0,0,0,0
79,0,1,0,0,1,1,1,1,1,1,1,1,1
80,1,1,0,0,1,1,0,0,1,0,0,0,0
81,1,1,0,0,0,1,1,0,1,0,0,0,0
82,1,1,1,0,1,1,1,0,1,0,0,0,0
83,1,1,1,0,1,1,0,0,1,0,0,0,0
84,1,1,0,0,1,1,1,0,1,0,0,0,0
85,0,1,0,0,1,1,1,0,1,0,0,0,0
86,0,1,0,0,1,1,1,0,1,0,0,0,0
87,1,1,0,0,1,1,1,0,1,0,0,0,0
88,0,1,0,0,1,1,0,0,1,0,0,0,0
89,1,1,1,0,1,1,0,0,1,0,0,0,0
90,0,1,0,0,1,1,1,0,1,0,0,0,0
91,1,1,1,0,1,1,1,0,1,0,0,0,0
92,1,1,1,0,1,1,0,0,1,0,0,0,0
93,1,1,1,0,1,1,1,0,1,0,0,0,0
94,1,1,0,0,1,1,1,0,1,0,0,0,0
95,1,1,0,0,1,1,1,0,1,0,0,0,0
96,1,1,0,0,1,1,1,0,1,0,0,0,0
97,1,1,1,0,1,1,0,0,0,0,0,0,0
98,1,1,1,1,1,1,0,0,1,0,0,0,0
99,1,1,0,0,1,1,1,0,1,0,0,0,0
100,0,1,0,1,1,1,1,0,1,0,0,0,0
101,1,1,1,0,1,1,0,0,1,0,0,0,0
102,1,1,0,0,1,1,1,0,1,0,0,0,0
